ST_length	        length	            misc,raw,lengthdep
CO_HistogramAMI_quantiles_2.ami4     CO_HistogramAMI_quantiles_2_4    information,correlation,AMI
CO_HistogramAMI_quantiles_2.ami5     CO_HistogramAMI_quantiles_2_5    information,correlation,AMI
CO_HistogramAMI_quantiles_5.ami1     CO_HistogramAMI_quantiles_5_1    information,correlation,AMI
CO_HistogramAMI_quantiles_5.ami2     CO_HistogramAMI_quantiles_5_2    information,correlation,AMI
CO_HistogramAMI_quantiles_5.ami3     CO_HistogramAMI_quantiles_5_3    information,correlation,AMI
CO_HistogramAMI_quantiles_5.ami4     CO_HistogramAMI_quantiles_5_4    information,correlation,AMI
CO_HistogramAMI_quantiles_5.ami5     CO_HistogramAMI_quantiles_5_5    information,correlation,AMI
CO_HistogramAMI_quantiles_10.ami1     CO_HistogramAMI_quantiles_10_1    information,correlation,AMI
CO_HistogramAMI_quantiles_10.ami2     CO_HistogramAMI_quantiles_10_2    information,correlation,AMI
CO_HistogramAMI_quantiles_10.ami3     CO_HistogramAMI_quantiles_10_3    information,correlation,AMI
CO_HistogramAMI_quantiles_10.ami4     CO_HistogramAMI_quantiles_10_4    information,correlation,AMI
CO_HistogramAMI_quantiles_10.ami5     CO_HistogramAMI_quantiles_10_5    information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami1  IN_AutoMutualInfoStats_40_gaussian_ami1  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami2  IN_AutoMutualInfoStats_40_gaussian_ami2  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami3  IN_AutoMutualInfoStats_40_gaussian_ami3  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami4  IN_AutoMutualInfoStats_40_gaussian_ami4  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami5  IN_AutoMutualInfoStats_40_gaussian_ami5  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami6  IN_AutoMutualInfoStats_40_gaussian_ami6  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami7  IN_AutoMutualInfoStats_40_gaussian_ami7  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami8  IN_AutoMutualInfoStats_40_gaussian_ami8  information,correlation,AMI
